Country Label,Pollutant,Last Updated,Value,Population
Afghanistan,PM2.5,2021,-863.0,85424178274.0
Antigua and Barbuda,PM2.5,2023,10.0,87129202465.0
Argentina,PM2.5,2017,3.0,81665929253.0
Argentina,PM2.5,2022,3.0,86263961277.0
Argentina,PM2.5,2023,31.070833378,87129202465.0
Argentina,TEMPERATURE,2023,53.862500280000006,87129202465.0
Armenia,PM2.5,2023,10.4,87129202465.0
Australia,CO,2018,-9998.1,82660927479.0
Australia,CO,2019,0.7,83636337784.0
Australia,CO,2020,1.83,84589162779.0
Australia,CO,2021,0.6,85424178274.0
Australia,CO,2022,0.6000000000000001,86263961277.0
Australia,CO,2023,0.2,87129202465.0
Australia,NO2,2018,0.078,82660927479.0
Australia,NO2,2019,-19997.927,83636337784.0
Australia,NO2,2020,0.0,84589162779.0
Australia,NO2,2021,0.022,85424178274.0
Australia,NO2,2022,0.041,86263961277.0
Australia,NO2,2023,0.005,87129202465.0
Australia,O3,2019,0.027,83636337784.0
Australia,O3,2020,0.064,84589162779.0
Australia,O3,2021,-1110.861,85424178274.0
Australia,O3,2022,0.589,86263961277.0
Australia,O3,2023,0.053,87129202465.0
Australia,PM10,2018,20.6,82660927479.0
Australia,PM10,2020,133.1,84589162779.0
Australia,PM10,2021,-811.7,85424178274.0
Australia,PM10,2022,541.26,86263961277.0
Australia,PM10,2023,102.12,87129202465.0
Australia,PM2.5,2018,10.9,82660927479.0
Australia,PM2.5,2020,81.1,84589162779.0
Australia,PM2.5,2021,-1005.93,85424178274.0
Australia,PM2.5,2022,153.55,86263961277.0
Australia,PM2.5,2023,92.369999905,87129202465.0
Australia,SO2,2018,-9998.96,82660927479.0
Australia,SO2,2019,-29993.708,83636337784.0
Australia,SO2,2020,0.0,84589162779.0
Australia,SO2,2021,0.002,85424178274.0
Australia,SO2,2022,0.015,86263961277.0
Australia,SO2,2023,9e-05,87129202465.0
Australia,TEMPERATURE,2023,23.70000076,87129202465.0
Austria,CO,2016,7644.0,80648414947.0
Austria,CO,2017,0.0,81665929253.0
Austria,CO,2021,1044.51549,85424178274.0
Austria,NO,2023,99.44541455,87129202465.0
Austria,NO2,2016,2906.0,80648414947.0
Austria,NO2,2017,68.09278153,81665929253.0
Austria,NO2,2020,43.12214087,84589162779.0
Austria,NO2,2021,22.66400002,85424178274.0
Austria,NO2,2023,125.32725475,87129202465.0
Austria,O3,2016,2386.0,80648414947.0
Austria,O3,2017,308.571,81665929253.0
Austria,O3,2020,41.073,84589162779.0
Austria,O3,2021,69.606,85424178274.0
Austria,O3,2023,112.465,87129202465.0
Austria,PM10,2016,1385.0,80648414947.0
Austria,PM10,2017,71.02318381,81665929253.0
Austria,PM10,2020,54.5,84589162779.0
Austria,PM10,2021,17.168000210000002,85424178274.0
Austria,PM10,2023,80.84071348,87129202465.0
Austria,PM2.5,2023,56.73544976,87129202465.0
Austria,SO2,2016,93.0,80648414947.0
Austria,SO2,2017,11.40885601,81665929253.0
Austria,SO2,2020,6.0,84589162779.0
Austria,SO2,2022,15.92600774,86263961277.0
Austria,SO2,2023,5.19623088,87129202465.0
Bangladesh,PM2.5,2016,45.5,80648414947.0
Belgium,CO,2020,0.21,84589162779.0
Belgium,CO,2021,130.0,85424178274.0
Belgium,CO,2022,120.0,86263961277.0
Belgium,CO,2023,1880.0,87129202465.0
Belgium,NO2,2017,140.0,81665929253.0
Belgium,NO2,2018,71.5,82660927479.0
Belgium,NO2,2019,3.5,83636337784.0
Belgium,NO2,2020,25.5,84589162779.0
Belgium,NO2,2021,103.0,85424178274.0
Belgium,NO2,2023,19.0,87129202465.0
Belgium,O3,2017,5.5,81665929253.0
Belgium,O3,2020,19.5,84589162779.0
Belgium,O3,2021,34.5,85424178274.0
Belgium,O3,2022,71.5,86263961277.0
Belgium,O3,2023,67.0,87129202465.0
Belgium,PM10,2017,108.6,81665929253.0
Belgium,PM10,2018,38.4,82660927479.0
Belgium,PM10,2019,38.7,83636337784.0
Belgium,PM10,2020,4.0,84589162779.0
Belgium,PM10,2021,38.271,85424178274.0
Belgium,PM2.5,2017,90.5,81665929253.0
Belgium,PM2.5,2018,19.0,82660927479.0
Belgium,PM2.5,2019,25.0,83636337784.0
Belgium,PM2.5,2021,31.653,85424178274.0
Belgium,SO2,2016,1.5,80648414947.0
Belgium,SO2,2017,21.0,81665929253.0
Belgium,SO2,2018,7.0,82660927479.0
Belgium,SO2,2020,14.0,84589162779.0
Belgium,SO2,2021,3.5,85424178274.0
Belgium,SO2,2022,3.8,86263961277.0
Belgium,SO2,2023,0.0,87129202465.0
Bermuda,O3,2021,0.012,85424178274.0
Bermuda,PM2.5,2023,17.0,87129202465.0
Bosnia and Herzegovina,CO,2016,2341.0,80648414947.0
Bosnia and Herzegovina,CO,2018,3121.0,82660927479.0
Bosnia and Herzegovina,CO,2022,4106.0,86263961277.0
Bosnia and Herzegovina,NO2,2016,5.0,80648414947.0
Bosnia and Herzegovina,NO2,2017,22.0,81665929253.0
Bosnia and Herzegovina,NO2,2018,243.0,82660927479.0
Bosnia and Herzegovina,NO2,2022,84.8,86263961277.0
Bosnia and Herzegovina,O3,2016,110.0,80648414947.0
Bosnia and Herzegovina,O3,2017,19.0,81665929253.0
Bosnia and Herzegovina,O3,2018,223.0,82660927479.0
Bosnia and Herzegovina,O3,2022,152.7,86263961277.0
Bosnia and Herzegovina,PM10,2018,736.0,82660927479.0
Bosnia and Herzegovina,PM2.5,2021,87.0,85424178274.0
Bosnia and Herzegovina,PM2.5,2022,69.3,86263961277.0
Bosnia and Herzegovina,SO2,2018,305.0,82660927479.0
Bosnia and Herzegovina,SO2,2022,335.6,86263961277.0
Brazil,CO,2017,2.3,81665929253.0
Brazil,CO,2022,0.8,86263961277.0
Brazil,CO,2023,5.2,87129202465.0
Brazil,NO2,2017,420.0,81665929253.0
Brazil,NO2,2022,168.0,86263961277.0
Brazil,NO2,2023,912.0,87129202465.0
Brazil,O3,2017,224.0,81665929253.0
Brazil,O3,2022,411.0,86263961277.0
Brazil,O3,2023,3168.0,87129202465.0
Brazil,PM10,2017,260.0,81665929253.0
Brazil,PM10,2022,0.0,86263961277.0
Brazil,PM10,2023,1644.0,87129202465.0
Brazil,PM2.5,2017,28.0,81665929253.0
Brazil,PM2.5,2022,66.0,86263961277.0
Brazil,PM2.5,2023,404.0,87129202465.0
Brazil,SO2,2017,3.0,81665929253.0
Brazil,SO2,2022,52.0,86263961277.0
Brazil,SO2,2023,39.0,87129202465.0
Bulgaria,NO,2023,5.25,87129202465.0
Canada,CO,2019,0.4,83636337784.0
Canada,CO,2021,0.0,85424178274.0
Canada,CO,2022,1.39,86263961277.0
Canada,CO,2023,1.4,87129202465.0
Canada,NO,2023,0.004,87129202465.0
Canada,NO2,2016,0.005,80648414947.0
Canada,NO2,2017,0.001,81665929253.0
Canada,NO2,2019,0.006,83636337784.0
Canada,NO2,2021,0.027,85424178274.0
Canada,NO2,2022,0.023,86263961277.0
Canada,NO2,2023,0.079,87129202465.0
Canada,NOX,2023,0.018,87129202465.0
Canada,O3,2016,0.208,80648414947.0
Canada,O3,2017,0.137,81665929253.0
Canada,O3,2018,0.145,82660927479.0
Canada,O3,2020,0.052,84589162779.0
Canada,O3,2021,0.144,85424178274.0
Canada,O3,2022,0.071,86263961277.0
Canada,O3,2023,0.892,87129202465.0
Canada,PM10,2016,7.0,80648414947.0
Canada,PM10,2017,8.0,81665929253.0
Canada,PM10,2018,4.0,82660927479.0
Canada,PM10,2019,0.0,83636337784.0
Canada,PM10,2020,14.0,84589162779.0
Canada,PM10,2021,58.0,85424178274.0
Canada,PM10,2022,0.0,86263961277.0
Canada,PM10,2023,5.0,87129202465.0
Canada,PM2.5,2016,3.5,80648414947.0
Canada,PM2.5,2017,3.0,81665929253.0
Canada,PM2.5,2018,19.0,82660927479.0
Canada,PM2.5,2019,15.5,83636337784.0
Canada,PM2.5,2020,10.6,84589162779.0
Canada,PM2.5,2021,20.6,85424178274.0
Canada,PM2.5,2022,45.9,86263961277.0
Canada,PM2.5,2023,654.107575569,87129202465.0
Canada,SO2,2019,0.0,83636337784.0
Canada,SO2,2021,0.005,85424178274.0
Canada,SO2,2022,0.0004,86263961277.0
Canada,SO2,2023,0.005,87129202465.0
Canada,TEMPERATURE,2023,87.66363573,87129202465.0
Central African Republic,PM2.5,2022,8.0,86263961277.0
Central African Republic,PM2.5,2023,18.0,87129202465.0
Chile,CO,2016,2354.9,80648414947.0
Chile,CO,2017,24012.0,81665929253.0
Chile,CO,2018,995.74,82660927479.0
Chile,CO,2021,32011.98,85424178274.0
Chile,NO2,2016,76.92999999999999,80648414947.0
Chile,NO2,2017,71.93,81665929253.0
Chile,NO2,2018,117.53,82660927479.0
Chile,NO2,2019,134.8,83636337784.0
Chile,NO2,2020,16.32,84589162779.0
Chile,NO2,2021,1182.16,85424178274.0
Chile,O3,2016,1006.87,80648414947.0
Chile,O3,2017,482.31,81665929253.0
Chile,O3,2018,125.36,82660927479.0
Chile,O3,2021,1347.01,85424178274.0
Chile,PM10,2016,476.92,80648414947.0
Chile,PM10,2017,1374.79,81665929253.0
Chile,PM10,2018,72.52,82660927479.0
Chile,PM10,2019,40.24,83636337784.0
Chile,PM10,2020,10.23,84589162779.0
Chile,PM10,2021,368.0,85424178274.0
Chile,PM10,2023,261.0,87129202465.0
Chile,PM2.5,2016,121.714,80648414947.0
Chile,PM2.5,2017,110.25,81665929253.0
Chile,PM2.5,2018,53.36,82660927479.0
Chile,PM2.5,2019,15.93,83636337784.0
Chile,PM2.5,2020,3.91,84589162779.0
Chile,PM2.5,2021,114.0,85424178274.0
Chile,PM2.5,2023,151.627976179,87129202465.0
Chile,SO2,2016,7.475099999999999,80648414947.0
Chile,SO2,2017,106.67,81665929253.0
Chile,SO2,2018,23.58,82660927479.0
Chile,SO2,2019,0.0,83636337784.0
Chile,SO2,2021,0.0,85424178274.0
Chile,SO2,2022,6.9,86263961277.0
Chile,SO2,2023,21.97,87129202465.0
Chile,TEMPERATURE,2023,24.75172631,87129202465.0
China,CO,2018,8168.0,82660927479.0
China,CO,2019,22600.0,83636337784.0
China,CO,2020,137600.0,84589162779.0
China,CO,2021,1025400.0,85424178274.0
China,NO2,2018,346.0,82660927479.0
China,NO2,2019,666.0,83636337784.0
China,NO2,2020,6086.0,84589162779.0
China,NO2,2021,26240.0,85424178274.0
China,O3,2018,531.0,82660927479.0
China,O3,2019,1862.0,83636337784.0
China,O3,2020,12276.0,84589162779.0
China,O3,2021,229806.0,85424178274.0
China,O3,2023,0.051,87129202465.0
China,PM10,2018,835.0,82660927479.0
China,PM10,2019,1839.0,83636337784.0
China,PM10,2020,12317.0,84589162779.0
China,PM10,2021,59621.0,85424178274.0
China,PM2.5,2018,500.0,82660927479.0
China,PM2.5,2019,1105.0,83636337784.0
China,PM2.5,2020,7679.0,84589162779.0
China,PM2.5,2021,32531.0,85424178274.0
China,PM2.5,2022,6.8,86263961277.0
China,PM2.5,2023,-19892.4,87129202465.0
China,SO2,2018,166.0,82660927479.0
China,SO2,2019,430.0,83636337784.0
China,SO2,2020,2692.0,84589162779.0
China,SO2,2021,10172.0,85424178274.0
China,SO2,2023,0.0014,87129202465.0
Colombia,CO,2019,-9999.0,83636337784.0
Colombia,CO,2021,-19997.62853,85424178274.0
Colombia,CO,2022,12.816554,86263961277.0
Colombia,NO2,2019,0.0131302,83636337784.0
Colombia,NO2,2021,-19997.98772394,85424178274.0
Colombia,NO2,2022,0.249920829,86263961277.0
Colombia,NO2,2023,0.0272133,87129202465.0
Colombia,O3,2019,0.0115,83636337784.0
Colombia,O3,2021,-19997.994028535,85424178274.0
Colombia,O3,2022,0.109148442,86263961277.0
Colombia,PM10,2019,65.0,83636337784.0
Colombia,PM10,2021,-29959.58338,85424178274.0
Colombia,PM10,2022,1625.76485,86263961277.0
Colombia,PM10,2023,41.0,87129202465.0
Colombia,PM2.5,2016,10.6,80648414947.0
Colombia,PM2.5,2019,62.30121,83636337784.0
Colombia,PM2.5,2020,-9999.0,84589162779.0
Colombia,PM2.5,2021,-19988.756025,85424178274.0
Colombia,PM2.5,2022,1364.572194,86263961277.0
Colombia,PM2.5,2023,15.0,87129202465.0
Colombia,SO2,2019,-9999.0,83636337784.0
Colombia,SO2,2021,0.04383189,85424178274.0
Colombia,SO2,2022,0.035993092,86263961277.0
Croatia,CO,2021,500.0,85424178274.0
Croatia,CO,2022,200.0,86263961277.0
Croatia,PM10,2017,40.1,81665929253.0
Croatia,PM2.5,2022,12.1,86263961277.0
Croatia,SO2,2021,-2.1,85424178274.0
Cyprus,CO,2023,34330.65,87129202465.0
Czech Republic,CO,2017,1065.0,81665929253.0
Czech Republic,CO,2018,135.0,82660927479.0
Czech Republic,CO,2023,117.655,87129202465.0
Czech Republic,NO,2023,3.7,87129202465.0
Czech Republic,NO2,2016,44.5,80648414947.0
Czech Republic,NO2,2017,7.1,81665929253.0
Czech Republic,NO2,2018,47.8,82660927479.0
Czech Republic,NO2,2019,23.3,83636337784.0
Czech Republic,NO2,2021,23.9,85424178274.0
Czech Republic,NO2,2023,33.5,87129202465.0
Czech Republic,O3,2018,430.4,82660927479.0
Czech Republic,O3,2020,9.0,84589162779.0
Czech Republic,O3,2021,24.1,85424178274.0
Czech Republic,O3,2023,72.6,87129202465.0
Czech Republic,PM10,2016,98.0,80648414947.0
Czech Republic,PM10,2017,44.0,81665929253.0
Czech Republic,PM10,2018,75.0,82660927479.0
Czech Republic,PM10,2020,5.0,84589162779.0
Czech Republic,PM10,2021,244.0,85424178274.0
Czech Republic,PM10,2023,46.7,87129202465.0
Czech Republic,PM2.5,2017,37.0,81665929253.0
Czech Republic,PM2.5,2018,49.0,82660927479.0
Czech Republic,PM2.5,2021,50.0,85424178274.0
Czech Republic,PM2.5,2023,26.54166651,87129202465.0
Czech Republic,SO2,2016,6.7,80648414947.0
Czech Republic,SO2,2017,15.4,81665929253.0
Czech Republic,SO2,2018,12.2,82660927479.0
Czech Republic,SO2,2020,4.3,84589162779.0
Czech Republic,SO2,2021,8.8,85424178274.0
Czech Republic,TEMPERATURE,2023,24.64999978,87129202465.0
Denmark,NO2,2017,3.41,81665929253.0
Denmark,O3,2017,62.81,81665929253.0
Denmark,PM2.5,2023,1.627976199,87129202465.0
Denmark,TEMPERATURE,2023,13.69930561,87129202465.0
Ecuador,CO,2021,5.9099738,85424178274.0
Ecuador,NO2,2021,263.712383719,85424178274.0
Ecuador,O3,2021,0.0,85424178274.0
Ecuador,PM10,2021,0.0,85424178274.0
Ecuador,PM2.5,2021,0.0,85424178274.0
Ecuador,SO2,2021,90.915833796,85424178274.0
Egypt,PM2.5,2023,35.0,87129202465.0
Ethiopia,PM2.5,2021,31.0,85424178274.0
Finland,NO2,2017,0.7986081,81665929253.0
Finland,NO2,2018,41.8,82660927479.0
Finland,NO2,2019,48.4,83636337784.0
Finland,NO2,2022,34.290621200000004,86263961277.0
Finland,NO2,2023,5.3952725,87129202465.0
Finland,O3,2017,62.669384,81665929253.0
Finland,O3,2018,30.2,82660927479.0
Finland,O3,2019,0.0,83636337784.0
Finland,PM10,2018,14.2,82660927479.0
Finland,PM10,2019,6.3841355,83636337784.0
Finland,PM10,2020,5.97923,84589162779.0
Finland,PM10,2022,15.6605775,86263961277.0
Finland,PM10,2023,15.9175816,87129202465.0
Finland,PM2.5,2016,3.0,80648414947.0
Finland,PM2.5,2018,6.4,82660927479.0
Finland,PM2.5,2020,3.196193,84589162779.0
Finland,PM2.5,2021,6.5554129,85424178274.0
France,CO,2016,0.0,80648414947.0
France,CO,2017,2249.2,81665929253.0
France,CO,2018,522.3,82660927479.0
France,CO,2019,924.0,83636337784.0
France,CO,2020,392.0,84589162779.0
France,CO,2021,947.0,85424178274.0
France,CO,2022,505.0,86263961277.0
France,CO,2023,284.0,87129202465.0
France,NO,2023,85.6,87129202465.0
France,NO2,2016,301.85,80648414947.0
France,NO2,2017,512.77,81665929253.0
France,NO2,2018,741.04,82660927479.0
France,NO2,2019,215.0,83636337784.0
France,NO2,2020,263.8,84589162779.0
France,NO2,2021,111.3,85424178274.0
France,NO2,2022,151.0,86263961277.0
France,NO2,2023,617.8,87129202465.0
France,O3,2016,122.95,80648414947.0
France,O3,2017,437.64,81665929253.0
France,O3,2018,2713.25,82660927479.0
France,O3,2019,592.6,83636337784.0
France,O3,2020,274.1,84589162779.0
France,O3,2021,393.5,85424178274.0
France,O3,2022,149.8,86263961277.0
France,O3,2023,360.8,87129202465.0
France,PM10,2016,199.45,80648414947.0
France,PM10,2017,213.43,81665929253.0
France,PM10,2018,744.68,82660927479.0
France,PM10,2019,185.0,83636337784.0
France,PM10,2020,218.0,84589162779.0
France,PM10,2021,206.2,85424178274.0
France,PM10,2022,96.9,86263961277.0
France,PM10,2023,210.9,87129202465.0
France,PM2.5,2016,74.25,80648414947.0
France,PM2.5,2017,69.95,81665929253.0
France,PM2.5,2018,133.99,82660927479.0
France,PM2.5,2019,145.9,83636337784.0
France,PM2.5,2020,92.2,84589162779.0
France,PM2.5,2021,17.5,85424178274.0
France,PM2.5,2022,11.7,86263961277.0
France,PM2.5,2023,33.3,87129202465.0
France,SO2,2016,13.95,80648414947.0
France,SO2,2017,28.46,81665929253.0
France,SO2,2018,35.89,82660927479.0
France,SO2,2019,28.9,83636337784.0
France,SO2,2020,27.2,84589162779.0
France,SO2,2021,2.1,85424178274.0
France,SO2,2022,12.1,86263961277.0
France,SO2,2023,2.7,87129202465.0
Gabon,PM2.5,2022,17.0,86263961277.0
Germany,CO,2016,450.0,80648414947.0
Germany,CO,2017,2990.0,81665929253.0
Germany,CO,2018,850.0,82660927479.0
Germany,CO,2019,710.0,83636337784.0
Germany,CO,2020,570.0,84589162779.0
Germany,CO,2021,290.0,85424178274.0
Germany,CO,2022,430.0,86263961277.0
Germany,CO,2023,1479.87816,87129202465.0
Germany,NO,2023,18.0847227,87129202465.0
Germany,NO2,2016,84.12593872000001,80648414947.0
Germany,NO2,2017,102.99314148,81665929253.0
Germany,NO2,2018,132.4,82660927479.0
Germany,NO2,2019,133.2,83636337784.0
Germany,NO2,2020,102.53,84589162779.0
Germany,NO2,2021,111.204,85424178274.0
Germany,NO2,2022,7.35,86263961277.0
Germany,NO2,2023,35.53542039,87129202465.0
Germany,O3,2016,42.638712170000005,80648414947.0
Germany,O3,2017,220.37813896,81665929253.0
Germany,O3,2018,42.89,82660927479.0
Germany,O3,2019,13.0,83636337784.0
Germany,O3,2020,148.05,84589162779.0
Germany,O3,2021,178.747,85424178274.0
Germany,O3,2022,49.1,86263961277.0
Germany,O3,2023,59.58913422,87129202465.0
Germany,PM10,2016,61.90820007000001,80648414947.0
Germany,PM10,2017,31.57644876,81665929253.0
Germany,PM10,2018,64.87,82660927479.0
Germany,PM10,2019,112.92,83636337784.0
Germany,PM10,2020,15.45,84589162779.0
Germany,PM10,2021,126.852,85424178274.0
Germany,PM10,2022,18.13,86263961277.0
Germany,PM10,2023,27.12224997,87129202465.0
Germany,PM2.5,2016,33.97,80648414947.0
Germany,PM2.5,2017,3.684,81665929253.0
Germany,PM2.5,2018,35.89,82660927479.0
Germany,PM2.5,2019,31.78,83636337784.0
Germany,PM2.5,2020,10.48,84589162779.0
Germany,PM2.5,2021,69.53,85424178274.0
Germany,PM2.5,2022,15.98,86263961277.0
Germany,PM2.5,2023,12.04674985,87129202465.0
Germany,SO2,2016,11.0,80648414947.0
Germany,SO2,2017,149.29889536000002,81665929253.0
Germany,SO2,2018,21.62,82660927479.0
Germany,SO2,2019,6.279999999999999,83636337784.0
Germany,SO2,2020,3059.75,84589162779.0
Germany,SO2,2021,3.88,85424178274.0
Germany,SO2,2023,8.27989971,87129202465.0
Gibraltar,CO,2018,470.0,82660927479.0
Gibraltar,NO2,2018,50.5,82660927479.0
Greece,CO,2022,100.0,86263961277.0
Greece,NO2,2021,5.0,85424178274.0
Greece,O3,2022,9.0,86263961277.0
Greece,SO2,2022,19.0,86263961277.0
Hungary,CO,2020,1383.4212750000002,84589162779.0
Hungary,CO,2021,9529.233175,85424178274.0
Hungary,CO,2023,6767.4294167,87129202465.0
Hungary,NO2,2023,379.5,87129202465.0
Hungary,O3,2023,627.3,87129202465.0
Hungary,PM10,2021,8.3829173,85424178274.0
Hungary,PM10,2023,269.0,87129202465.0
Hungary,PM2.5,2023,147.0,87129202465.0
Hungary,SO2,2023,152.7,87129202465.0
Iceland,NO2,2022,3.39623,86263961277.0
Iceland,PM10,2022,5.05,86263961277.0
Iceland,PM2.5,2022,1.55,86263961277.0
Iceland,SO2,2022,0.299999,86263961277.0
Iceland,SO2,2023,22.515,87129202465.0
India,CO,2016,1300.0,80648414947.0
India,CO,2017,9070.0,81665929253.0
India,CO,2018,136469.8,82660927479.0
India,CO,2019,1770.0,83636337784.0
India,CO,2020,11190.0,84589162779.0
India,CO,2021,7670.0,85424178274.0
India,CO,2022,415551.42,86263961277.0
India,NO2,2017,93.86,81665929253.0
India,NO2,2018,2853.64,82660927479.0
India,NO2,2019,27.72,83636337784.0
India,NO2,2020,318.92,84589162779.0
India,NO2,2021,24.2,85424178274.0
India,NO2,2022,11680.95,86263961277.0
India,O3,2016,5.63,80648414947.0
India,O3,2017,595.95,81665929253.0
India,O3,2018,2439.7,82660927479.0
India,O3,2019,83.85,83636337784.0
India,O3,2020,333.47,84589162779.0
India,O3,2021,748.5899999999999,85424178274.0
India,O3,2022,6580.49087,86263961277.0
India,PM10,2016,132.94,80648414947.0
India,PM10,2017,475.49,81665929253.0
India,PM10,2018,9442.71,82660927479.0
India,PM10,2019,79.87,83636337784.0
India,PM10,2020,936.79,84589162779.0
India,PM10,2021,316.84,85424178274.0
India,PM10,2022,58670.17,86263961277.0
India,PM2.5,2016,704.8,80648414947.0
India,PM2.5,2017,44.4,81665929253.0
India,PM2.5,2018,6255.87,82660927479.0
India,PM2.5,2019,174.57,83636337784.0
India,PM2.5,2020,635.69,84589162779.0
India,PM2.5,2021,1156.38,85424178274.0
India,PM2.5,2022,31221.52,86263961277.0
India,SO2,2017,101.07,81665929253.0
India,SO2,2018,608.83,82660927479.0
India,SO2,2019,31.83,83636337784.0
India,SO2,2020,196.12,84589162779.0
India,SO2,2021,36.36,85424178274.0
India,SO2,2022,5424.81,86263961277.0
Indonesia,PM2.5,2016,-970.6,80648414947.0
Indonesia,PM2.5,2018,4.4,82660927479.0
Ireland,CO,2018,0.05735562,82660927479.0
Ireland,CO,2021,478.82224,85424178274.0
Ireland,NO2,2018,61.52555985,82660927479.0
Ireland,NO2,2019,27.51195515,83636337784.0
Ireland,PM2.5,2018,6.7,82660927479.0
Ireland,SO2,2018,1.48986174,82660927479.0
Ireland,SO2,2020,12.07492237,84589162779.0
Israel,CO,2018,-0.2,82660927479.0
Israel,CO,2019,47.5,83636337784.0
Israel,NO2,2018,0.0644,82660927479.0
Israel,NO2,2019,2.2721,83636337784.0
Israel,O3,2018,0.0801,82660927479.0
Israel,O3,2019,1.9624,83636337784.0
Israel,PM2.5,2021,10.1,85424178274.0
Israel,SO2,2018,0.0003,82660927479.0
Israel,SO2,2019,0.1249,83636337784.0
Italy,CO,2019,1500.0,83636337784.0
Italy,CO,2020,7600.0,84589162779.0
Italy,CO,2021,400.0,85424178274.0
Italy,CO,2022,9077.39736,86263961277.0
Italy,CO,2023,4110.0,87129202465.0
Italy,NO2,2019,156.0,83636337784.0
Italy,NO2,2020,318.0,84589162779.0
Italy,NO2,2021,17.33,85424178274.0
Italy,NO2,2022,80.41402,86263961277.0
Italy,NO2,2023,94.322142,87129202465.0
Italy,O3,2020,1183.0,84589162779.0
Italy,O3,2021,77.89,85424178274.0
Italy,O3,2022,556.65638,86263961277.0
Italy,O3,2023,165.04372999999998,87129202465.0
Italy,PM10,2019,243.0,83636337784.0
Italy,PM10,2020,580.24468,84589162779.0
Italy,PM10,2021,4.0,85424178274.0
Italy,PM10,2022,37.1,86263961277.0
Italy,PM10,2023,86.06,87129202465.0
Italy,PM2.5,2020,193.0,84589162779.0
Italy,PM2.5,2023,116.74717591,87129202465.0
Italy,SO2,2019,-9.0,83636337784.0
Italy,SO2,2020,1.0,84589162779.0
Italy,SO2,2021,40.32,85424178274.0
Italy,SO2,2022,46.5347847,86263961277.0
Italy,SO2,2023,7.1,87129202465.0
Italy,TEMPERATURE,2023,36.52492288,87129202465.0
Japan,NO,2023,0.017,87129202465.0
Japan,NO2,2023,0.032,87129202465.0
Japan,NOX,2023,0.049,87129202465.0
Japan,PM2.5,2023,37.940476219,87129202465.0
